LocationTitle,AddressStreetInfo,City,State,Zipcode,Latitude,Longitude,GroupTitle,Day,Start,End,MeetingType
Harlem Children's Zone Admin. Offices,35 East 125 Street,New York,NY,10035,"40.805958,-73.940763,09,"125",Saturdays,4:15 PM,5:30 PM,B
Peter Jay Sharpe Building,223 East 117th Street,New York,NY,10035,"40.7982106,-73.9382769,09,"east harlem",Tuesdays,6:30 PM,7:30 PM,B
2126 2nd Avenue,2126 2nd Avenue,New York,NY,10029,"40.7927121,-73.94069,09,"grupo nueva vida",Sundays,5:00 PM,6:00 PM,OD
2126 2nd Avenue,2126 2nd Avenue,New York,NY,10029,"40.7927121,-73.94069,09,"grupo nueva vida",Mondays,8:00 PM,9:00 PM,B
2126 2nd Avenue,2126 2nd Avenue,New York,NY,10029,"40.7927121,-73.94069,09,"grupo nueva vida",Tuesdays,8:00 PM,9:00 PM,OD
2126 2nd Avenue,2126 2nd Avenue,New York,NY,10029,"40.7927121,-73.94069,09,"grupo nueva vida",Wednesdays,8:00 PM,9:00 PM,C
2126 2nd Avenue,2126 2nd Avenue,New York,NY,10029,"40.7927121,-73.94069,09,"grupo nueva vida",Thursdays,8:00 PM,9:00 PM,OD
2126 2nd Avenue,2126 2nd Avenue,New York,NY,10029,"40.7927121,-73.94069,09,"grupo nueva vida",Fridays,8:00 PM,9:00 PM,OD
2126 2nd Avenue,2126 2nd Avenue,New York,NY,10029,"40.7927121,-73.94069,09,"grupo nueva vida",Saturdays,8:00 PM,9:00 PM,OD
Veterans Residence,22 East 119th Street,New York,NY,10035,"40.8021458,-73.9442327,09,"harlem 1 pm recovery",Sundays,1:00 PM,2:00 PM,T
Veterans Residence,22 East 119th Street,New York,NY,10035,"40.8021458,-73.9442327,09,"harlem 1 pm recovery",Mondays,1:00 PM,2:00 PM,B
St Andrews Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"a design for living",Thursdays,7:00 AM,8:00 AM,OD
St Andrews Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"a design for living",Tuesdays,7:00 AM,8:00 AM,B
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"chambers street",Mondays,12:15 PM,1:15 PM,OD
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"chambers street",Wednesdays,12:15 PM,1:15 PM,S
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"chambers street",Thursdays,12:15 PM,1:15 PM,B
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"chambers street",Fridays,12:15 PM,1:15 PM,BB
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"friday downtown",Fridays,6:00 PM,7:00 PM,OD
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"passing the bar",Mondays,1:15 PM,2:15 PM,B
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"passing the bar",Tuesdays,1:15 PM,2:15 PM,C
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"passing the bar",Wednesdays,1:15 PM,2:15 PM,C
St. Andrew's Church,20 Cardinal Hayes Place,New York,NY,10007,"40.7132514,-74.002398,01,"passing the bar",Thursdays,1:15 PM,2:15 PM,S
